"PlayerName","CourseName","LayoutName","Date","Total","Net_Score","Hole1","Hole2","Hole3","Hole4","Hole5","Hole6","Hole7","Hole8","Hole9","Hole10","Hole11","Hole12","Hole13","Hole14","Hole15","Hole16","Hole17","Hole18","Hole19","Hole20"
"Pink Leopard","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-28 09:33:00",65,11,4,5,5,3,3,4,4,3,4,2,3,3,4,4,3,3,4,4,0,0
"Garret","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-28 09:33:00",72,18,3,6,5,4,3,3,4,3,6,3,4,3,6,3,4,4,4,4,0,0
"Maria","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-28 09:33:00",95,41,7,8,5,6,5,4,5,3,7,3,4,5,6,7,6,5,5,4,0,0
"Cvance","Centennial Park DGC","2020 Winter Layout - Red Tees","2021-02-26 14:03:00",59,5,3,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,0,0
"Cvance","White Spruce Park","Red Tees (Short)","2021-02-22 16:27:00",68,11,3,3,5,3,4,4,3,4,4,4,3,2,4,3,3,4,4,4,4,3
"Pink Leopard","White Spruce Park","Red Tees (Short)","2021-02-22 16:27:00",68,8,2,3,4,3,4,3,3,3,4,4,3,3,4,4,4,3,4,3,3,4
"Cvance","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-21 14:47:00",62,8,3,3,3,3,5,4,3,3,4,4,3,3,3,4,3,4,4,3,0,0
"Maria","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-21 14:47:00",106,52,5,6,5,6,6,5,5,3,9,4,5,7,8,9,5,6,6,6,0,0
"Pink Leopard","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-21 14:47:00",64,10,3,4,3,3,4,4,4,3,5,3,3,3,4,4,3,3,4,4,0,0
"Garret","E.T. Seton Park Disc Golf Course","2021 Winter Layout","2021-02-21 14:47:00",72,18,3,4,3,3,5,3,4,3,4,4,4,3,6,6,4,4,4,5,0,0
"Cvance","Centennial Park DGC","2020 Winter Layout - Red Tees","2021-02-14 12:08:00",50,-4,3,2,3,2,3,2,2,3,4,2,3,3,2,3,3,3,3,4,0,0
"Cvance","Riverside Park DGC","Twice through with mixed tees/pins","2021-02-12 14:46:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cvance","Centennial Park DGC","2020 Winter Layout - Red Tees","2021-02-11 11:41:00",55,1,3,3,3,3,4,2,2,4,3,4,3,3,3,2,4,3,3,3,0,0
"Spence","White Spruce Park","Red Tees (Short)","2021-01-31 22:58:00",62,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,4,3,3
"Spence","Scarlett Woods Disc Golf Course","Main","2021-01-18 16:15:00",37,5,6,4,4,3,4,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0
"Cvance","Scarlett Woods Disc Golf Course","Main","2021-01-06 14:54:00",36,4,5,4,3,3,5,3,6,3,4,0,0,0,0,0,0,0,0,0,0,0
"Pink Leopard","Scarlett Woods Disc Golf Course","Main","2021-01-06 14:54:00",40,8,6,3,5,4,5,4,7,3,3,0,0,0,0,0,0,0,0,0,0,0
"Spence","Scarlett Woods Disc Golf Course","Main","2021-01-06 14:54:00",36,4,5,4,4,3,4,3,6,3,4,0,0,0,0,0,0,0,0,0,0,0
"Pink Leopard","White Spruce Park","Red Tees (Short)","2021-01-02 13:21:00",69,9,3,3,5,3,3,4,4,3,4,5,3,3,4,4,3,3,3,3,3,3
"Cvance","White Spruce Park","Red Tees (Short)","2021-01-02 13:21:00",62,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
"Spence","E.T. Seton Park Disc Golf Course","2020 Fall Layout","2020-12-31 11:43:00",54,0,3,3,3,3,3,3,3,3,4,2,4,2,3,3,3,3,3,3,0,0
"Cvance","E.T. Seton Park Disc Golf Course","2020 Fall Layout","2020-12-31 11:43:00",59,5,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,0,0
"Cvance","E.T. Seton Park Disc Golf Course","2020 Fall Layout","2020-09-03 09:33:00",54,3,3,4,3,2,4,0,3,4,3,3,3,3,3,3,3,4,3,3,0,0
